,player_name,college,rank,height,weight,bats/throws,hometown,drafted,debuted,travel_team,notes,class_year,school,school_id
568,Travis Demeritte,South Carolina,19,6-1,185,R/R,"Statham, GA",Rd 1 by Rangers (2013),Tigers (2019),East Cobb Braves,"Very fast bat, ball jumps, plus defender, up to 91 on mound, hit well @ PG National. Stood out at PG Tourney's as well",2013,South Carolina,648.0
569,Chris Okey,Clemson,20,6-0,175,R/R,"Mt Dora, FL",Rd 2 by Reds (2016),None,FTB Chandler,"Very good defensive catcher and all around player, Hit very well @ PG National",2013,Clemson,147.0
570,Cavan Biggio,Notre Dame,21,6-1,185,L/R,"Houston, TX",Rd 5 by Blue Jays (2016),Blue Jays (2019),Houston Heat,"Can flat out hit, Always squares the ball up and makes hard contact. Outstanding @ PG National",2013,Notre Dame,513.0
571,Billy McKinney,TCU,22,6-1,195,L/L,"Plano, TX",Rd 1 by Athletics (2013),Yankees (2018),DBAT Mustangs,Showed easy smooth left handed swing with very good bat speed and power potential @ PG National,2013,TCU,698.0
572,AJ Puk,Florida,23,6-6,205,L/L,"Cedar Rapids, IA",Rd 1 by Athletics (2016),Athletics (2019),HS baseball/Canes Evoshield Baseball,Outstanding 2 way talent. Throws very easy and up to 92 mph on the mound and easy power with the bat. Extremely high ceiling.,2013,Florida,235.0
573,Justin Williams,LSU,24,6-3,215,L/R,"Houma, LA",Rd 2 by Diamondbacks (2013),Rays (2018),Marucci Elite,"Outstanding @ PG National, Huge Power, plus bat speed, really coming on strong as expected. Power stood out at PG AA. Won HR Derby",2013,LSU,365.0
574,Ryan McMahon,Southern California,25,6-3,195,L/R,"Yorba Linda, CA",Rd 2 by Rockies (2013),None,None,Interesting bat to watch. Stood out at Area Codes,2013,Southern California,657.0
575,Riley Unroe,Southern California,26,6-0,180,S/R,"Mesa, AZ",Rd 2 by Rays (2013),None,AZ D'Backs Elite,"Outstanding all around talent. 6.40 runner, 91 OF, 88 IF and very interesting bat @ PG National",2013,Southern California,657.0
577,Clinton Hollon,Kentucky,28,6-1,195,R/R,"Lexington, KY",Rd 2 by Blue Jays (2013),None,Kentucky Baseball Club,"Electric Arm, 90-94 mph up to 96 mph at WWBA, Showed well @ PG National",2013,Kentucky,334.0
578,Hunter Green,Kentucky,29,6-4,180,L/L,"Bowling Green, KY",Rd 2 by Angels (2013),None,Marucci Elite,"Very good loose, easy arm that was up to 91 mph. Good athlete and ran a 6.6 sixty",2013,Kentucky,334.0
579,Josh Hart,Georgia Tech,30,6-2,180,L/L,"Lilburn, GA",Rd 1 Comp by Orioles (2013),None,East Cobb Braves,"Very good all around player, showed well at WWBA and PG National. Ran a 6.49 and showed nice LH stroke",2013,Georgia Tech,255.0
580,Zack Collins,Miami (FL),31,6-2,209,L/R,"Pembroke Pines, FL",Rd 1 by White Sox (2016),White Sox (2019),South Florida Elite Squad,"Outstanding LH bat, Big power, has absolutely mashed at WWBA events. WWBA 16U MVP, Showed big power bat @ PG National",2013,Miami (FL),415.0
581,Kyle Serrano,Tennessee,32,6-0,185,R/R,"Knoxville, TN",Rd 10 by Astros (2017),None,None,Low 90's and knows how to pitch. Very good at WWBA World Championship and up to 92,2013,Tennessee,694.0
582,Jacob Brentz,Missouri,33,6-2,195,L/L,"Ballwin, MO",Rd 11 by Blue Jays (2013),Royals (2021),Midwest Titans,"Big time LHP. Up to 94 mph at WWBA. Very high ceiling, Arm really works well. 94 again at PG Indoor, Touched 97 in PG Spring League",2013,Missouri,434.0
583,Carlos Salazar,Fresno St.,34,6-2,205,R/R,"Kerman, CA",Rd 3 by Braves (2013),None,None,Power arm up to 96 mph at WWBA World Championship,2013,Fresno St.,96.0
584,Dustin Driver,UCLA,35,6-2,210,R/R,"Wenatchee, WA",Rd 7 by Athletics (2013),None,None,"Sat 91-93 mph @ PG National, Have seen 94. Very interesting power arm.",2013,UCLA,110.0
585,Thomas Milone,UConn,36,6-0,185,L/L,"Monroe, CT",Rd 3 by Rays (2013),None,Ct Gamers,Stood out at ECP and Area Codes,2013,UConn,164.0
586,Stephen Wrenn,Georgia,37,6-2,175,R/R,"Marietta, GA",Rd 6 by Astros (2016),None,East Cobb Astros,"Good athlete, very good runner, bat to watch",2013,Georgia,257.0
587,Jordan Sheffield,Vanderbilt,38,6-0,180,R/R,"Tullahoma, TN",Rd 1 Comp by Dodgers (2016),Rockies (2021),Knights Baseball,"Fast Arm, loose easy AA, Up to 95 mph at WWBA, and very good at PG National. Up to 98 mph @ WWBA WC with a hammer!",2013,Vanderbilt,736.0
588,Tyler Danish,Florida,39,6-0,170,R/R,"Valrico, FL",Rd 2 by White Sox (2013),White Sox (2016),Chet Lemon's Juice,Up to 94 mph with outstanding pitchability. Good offspeed MVPitcher WWBA Under and WWBA World Championship,2013,Florida,235.0
589,Brett Morales,Florida,40,6-2,190,R/R,"Tampa, FL",Rd 24 by Reds (2013),None,Orlando Scorpions,Outstanding arm really stood out @ PG National with 94 mph FB and good off speed,2013,Florida,235.0
590,Jonah Wesely,UCLA,41,6-2,215,L/L,"Tracy, CA",Rd 11 by Angels (2013),None,Team Elite,"Very good arm strength, Up to 92 @ PG National and showed a nice breaking ball. Keeps getting better lights out at WWBA WC!",2013,UCLA,110.0
592,Cord Sandberg,Mississippi St.,43,6-3,215,L/L,"Bradenton, FL",Rd 3 by Phillies (2013),None,HS BB Club,"Great athlete, very good in the OF, Stood out with the bat @ PG National, Very good swing with power, Also a FB star",2013,Mississippi St.,430.0
593,Dusty Peterson,Arizona St.,44,5-11,170,R/R,"Gilbert, AZ",None,None,None,Very good all around player,2013,Arizona St.,28.0
594,Tucker Neuhaus,Louisville,45,6-3,190,L/R,"Tampa, FL",Rd 2 Comp by Brewers (2013),None,Florida Hardballers,Keeps getting better each time we see him. Projectable at bat. ,2013,Louisville,367.0
595,Andrew Dunlap,Rice,46,5-11,235,R/R,"Houston, TX",Rd 33 by Nationals (2013),None,Marucci Elite,Big power arm up to 96 mph @ PG Indoor. Huge power bat as well,2013,Rice,574.0
596,Brian Navarreto,Jacksonville,47,6-3,200,R/R,"Jacksonville, FL",Rd 6 by Twins (2013),Marlins (2020),East Cobb Braves,Showed outstanding defensive ability @ PG National and projects with the bat.,2013,Jacksonville,316.0
597,Matthew McPhearson,Miami (FL),48,5-10,170,L/L,"Columbia, MD",Rd 4 by Diamondbacks (2013),None,Marucci Elite,"Good athlete, can really run (6,21 @ PG National) and nice left-handed swing",2013,Miami (FL),415.0
598,Blake Taylor,Hawaii,49,6-3,195,L/L,"Mission Viejo, CA",Rd 2 by Pirates (2013),Astros (2020),None,Up to 92 mph at Area Codes,2013,Hawaii,277.0
599,Garrett Williams,Oklahoma St.,50,6-2,195,L/L,"Shreveport, LA",Rd 7 by Giants (2016),None,Marucci Elite,"Very good LHP, Pitches in the low 90's with a very nice breaking ball",2013,Oklahoma St.,521.0
601,Tyler Kolek,TCU,2,6-5,250,R/R,"Shepherd, TX",Rd 1 by Marlins (2014),None,Houston Heat,Big RHP was up to 97 mph at PG National. Arm works well and off speed shows good potential. Up to 99 mph at PG All American Game. Very impressive so far this spring,2014,TCU,698.0
602,Nicholas Gordon,Florida St.,3,6-2,170,L/R,"Windermere, FL",Rd 1 by Twins (2014),Twins (2021),FTB Chandler Team,"Good athlete, really projects both ways, outstanding defensive SS stood out at WWBA, BCS and PG Nat., great bloodlines, up to 94 @ PG World, Very good at PG All American Game. Keeps getting better and bat was best we have seen it at PG World",2014,Florida St.,234.0
603,Alex Jackson,Oregon,4,6-2,210,R/R,"Escondido, CA",Rd 1 by Mariners (2014),Braves (2019),San Diego Show,"Huge power, very good defensive catcher, Also play OF well. Has all the tools, outstanding at PG Nat. Games and Area Codes. Outstanding at PG National. PG All American",2014,Oregon,529.0
604,Touki Toussaint,Vanderbilt,5,6-2,195,R/R,"Coral Springs, FL",Rd 1 by Diamondbacks (2014),Braves (2018),Atlanta Blue Jays,Dominant @ WWBA WC. FB up to 97 mph and showed a very good CB. Showed well at PG National. up to 95 at PG AA,2014,Vanderbilt,736.0
605,Kodi Medeiros,Pepperdine,6,6-0,185,L/L,"Hilo, HI",Rd 1 by Brewers (2014),None,Big League,Can flat out pitch! Unhittable and up to 95 at PG AA. Excellent breaking ball. Impressed at WWBA World Championship,2014,Pepperdine,541.0
606,Grant Holmes,Florida,7,6-2,190,L/R,"Conway, SC",Rd 1 by Dodgers (2014),None,Evoshield Canes,Outstanding at PG National. FB up to 96 mph with a very good breaking ball. Dominant at PG WS and PG AA. Good in Jupiter,2014,Florida,235.0
607,Sean Reid-Foley,Florida St.,8,6-3,208,R/R,"Jacksonville, FL",Rd 2 by Blue Jays (2014),Blue Jays (2018),FTB Chandler,Dominated at PG National and up to 94 mph! Impressed all summer at WWBA and PG AA. Very good at WWBA World Championship,2014,Florida St.,234.0
608,Michael Gettys,Georgia,9,6-2,205,R/R,"Gainesville, GA",Rd 2 by Padres (2014),None,Tigers Baseball,"Very impressive 2 way prospect! Showed big power, 100 mph from OF arm, 6.4 runner and mid 90's on the mound at PG National! Smoked 2B in PG AA",2014,Georgia,257.0
609,Jacob Gatewood,Southern California,10,6-5,190,R/R,"Clovis, CA",Rd 1 Comp by Brewers (2014),None,San Diego Show,"Good athlete, very projectable all around player, huge power potential. Very good at PG and Area Codes",2014,Southern California,657.0
610,Luis Ortiz,Fresno St.,11,6-3,220,R/R,"Fresno, CA",Rd 1 by Rangers (2014),None,San Diego Show,Up to 95 mph with a very good breaking ball at PG National. Very good at WWBA and PG AA,2014,Fresno St.,96.0
611,Michael Chavis,Clemson,12,5-11,175,R/R,"Marietta, GA",Rd 1 by Red Sox (2014),Red Sox (2019),East Cobb Braves,"Hit A HR in 5 different PG tourneys. Stood out at PG WS, Showed very fast bat NUC Main. 6.68 and 90 IF at PG National. PG AA HR Derby Champ! Can flat out hit. Very goof at WWBA WC",2014,Clemson,147.0
612,Foster Griffin,Ole Miss,13,6-5,190,R/L,"Orlando, FL",Rd 1 by Royals (2014),Royals (2020),Orlando Scorpions,Keeps getting better each time we see him. Up to 92 mph at PG National. MVPitcher of 17u WWBA. PG AA,2014,Ole Miss,433.0
