,player_name,college,rank,height,weight,bats/throws,hometown,drafted,debuted,travel_team,notes,class_year,school,school_id
657,Trenton Grisham,Texas Tech,8,6-0,200,L/L,"Fort Worth, TX",Rd 1 by Brewers (2015),Brewers (2019),None,Can flat out hit with outstanding speed. PG AA,2015,Texas Tech,700.0
658,Kyle Tucker,Florida,9,6-4,175,L/R,"Tampa, FL",Rd 1 by Astros (2015),Astros (2018),All American Prospects,Smooth easy left handed stroke. he can really hit. PG AA,2015,Florida,235.0
659,Mike Nikorak,Alabama,10,6-5,205,R/R,"Stroudsburg, PA",Rd 1 Comp by Rockies (2015),None,Evoshield Canes 17U,Big RHP ran his fastball up to 97 mph at PG National. PG AA,2015,Alabama,8.0
660,Garrett Whitley,Wake Forest,11,6-1,195,R/R,"Niskayuna, NY",Rd 1 by Rays (2015),None,Schenectady City Indians,Great athlete and showed big bat speed at ECP and Area Code Games,2015,Wake Forest,749.0
661,Juan Hillman,UCF,12,6-2,183,L/L,"Haines City, FL",Rd 2 by Indians (2015),None,FTB,Keeps getting better and projects for more. Easy 90 mph and good offspeed and command to go with it. Dominant at PG World. Up to 92 at PG National. PG AA Lights out in Jupiter very good CB,2015,UCF,128.0
662,Donny Everett,Vanderbilt,13,6-2,220,R/R,"Clarksville, TN",Rd 29 by Brewers (2015),None,None,Big Power RHP was up to 97 at WWBA WC. PG AA,2015,Vanderbilt,736.0
663,Cornelius Randolph,Clemson,14,6-1,190,L/R,"Griffin, GA",Rd 1 by Phillies (2015),None,HomePlate Chilli Dogs/Maldonado,Very impressive at PG National. Bat stood out at WWBA PG AA. Very good at WWBA WC,2015,Clemson,147.0
664,Austin Smith,Fla. Atlantic,15,6-4,215,R/R,"Boynton Beach, FL",Rd 2 by Padres (2015),None,Easton Rockets,Very live arm and up to 93 at PG National. Throws easy with a very high ceiling. FB up to 96 at PG AA,2015,Fla. Atlantic,229.0
665,Beau Burrows,Texas A&M,16,6-2,200,R/R,"Weatherford, TX",Rd 1 by Tigers (2015),Tigers (2020),Evoshield Canes,"Topped at 82 in 2011, 89 mph in 2012, Now up to 96 mph! MVPitcher 17u WWBA PG AA. Very good at WWBA WC",2015,Texas A&M,697.0
666,Chris Betts,Tennessee,17,6-2,220,L/R,"Long Beach, CA",Rd 2 by Rays (2015),None,CBA Marucci,"High level LH bat. Very good game at bats. Lots of game HR's at PG. Mashed at 17u WWBA PG AA, Showed huge power potential at Cal Underclass",2015,Tennessee,694.0
667,Josh Naylor,Texas Tech,18,6-1,225,L/L,"Mississauga, ON",Rd 1 by Marlins (2015),Padres (2019),Canada Junior National Team/Ontario Blue Jays,Showed huge power and a big arm at PG National. Big power potential. 108 off his bat in Jupiter and multiple HR's. Ball flies off his barrel,2015,Texas Tech,700.0
668,Ke'Bryan Hayes,Tennessee,19,6-1,207,R/R,"Tomball, TX",Rd 1 Comp by Pirates (2015),Pirates (2020),Team DeMarini Hayes,High level talent. Stood out at WWBA and PG National. Great plan at the plate. PG AA. Good potential on the mound as well,2015,Tennessee,694.0
669,Nick Plummer,Kentucky,20,5-11,200,L/L,"Lathrup Village, MI",Rd 1 by Cardinals (2015),None,Motor City Hitdogs,Bat really stood out at ECP and Area Codes. Very high level hitter,2015,Kentucky,334.0
670,Tyler Nevin,UCLA,21,6-3,200,R/R,"Poway, CA",Rd 1 Comp by Rockies (2015),Orioles (2021),CA BB Academy - CBA Marucci,Coming back strong from injury! Bat really standing out!,2015,UCLA,110.0
671,Drew Finley,Southern California,22,6-3,200,R/R,"San Diego, CA",Rd 3 by Yankees (2015),None,San Diego Show,Can really pitch and FB reaches the low 90's. PG AA,2015,Southern California,657.0
672,Dakota Chalmers,Georgia,23,6-3,175,R/R,"Gainesville, GA",Rd 3 by Athletics (2015),None,None,FB up to 94 mph and very good breaking ball to go with it.,2015,Georgia,257.0
673,Demi Orimoloye,Oregon,24,6-4,225,R/R,"Orleans, ON",Rd 4 by Brewers (2015),None,Team Canada/Ottawa Canadians,Big potential with the bat. Fantastic at Area Code Games very good at WWBA WC,2015,Oregon,529.0
674,Triston McKenzie,Vanderbilt,25,6-5,160,R/R,"Royal Palm Beach, FL",Rd 1 Comp by Indians (2015),Indians (2020),Easton Rockets17u,"Extremely high ceiling. 80 mph in 2012, 87 in 2013 now up to 92 at PG National with more to come! PG AA. Sky is the limit for him",2015,Vanderbilt,736.0
675,Jahmai Jones,North Carolina,26,6-0,210,R/R,"Roswell, GA",Rd 2 by Angels (2015),Angels (2020),Georgia Roadrunners,Very good all around player. Hitting tools stood out at WWBA. Impressed at PG National. PG AA,2015,North Carolina,457.0
676,Jalen Miller,Clemson,27,6-1,185,R/R,"Atlanta, GA",Rd 3 by Giants (2015),None,18U East Cobb Astros,Very good at PG National. Great defensive SS and can hit!,2015,Clemson,147.0
677,Luken Baker,TCU,28,6-4,260,R/R,"Spring, TX",Rd 2 Comp by Cardinals (2018),None,Twelve Baseball,"Another big strong Texas RHP was up to 95 mph at PG National, Equally talented as a RH hitting power hitter. Huge power potential. Nice swing and make very hard contact. PG AA",2015,TCU,698.0
678,Nick Neidert,South Carolina,29,6-1,185,R/R,"Lawrenceville, GA",Rd 2 by Mariners (2015),Marlins (2020),Team Elite Prime,Can flat out pitch. FB up to 93 mph at PG National. Up to 94 at WWBA. Dominant and up to 96 in Jupiter,2015,South Carolina,648.0
679,Mitchell Hansen,Stanford,30,6-4,197,L/L,"Plano, TX",Rd 2 by Dodgers (2015),None,FTB Chandler,Showed huge potential with the bat at PG National. Very good athlete with big all around potential. PG AA,2015,Stanford,674.0
680,Thomas Szapucki,Florida,31,6-2,190,L/L,"Palm Beach Gardens, FL",Rd 5 by Mets (2015),Mets (2021),All American Prospects,Pitches in the low 90's with very sharp breaking ball,2015,Florida,235.0
681,Antonio Santillan,Texas Tech,32,6-3,195,R/R,"Arlington, TX",Rd 2 by Reds (2015),Reds (2021),None,Low to better 90's on the mound. Good breaking ball. Also good SS and bat,2015,Texas Tech,700.0
682,Kep Brown,UNCW,33,6-7,230,R/R,"Mount Pleasant, SC",Rd 10 by Cardinals (2015),None,Atlanta Blue Jays,Crushed balls at PG National. PG AA. Bat stood out at WWBA and PG WS. Very good hitting tools now that really project well. Showed huge power at NUC Main,2015,UNCW,460.0
683,Ryan Mountcastle,UCF,34,6-4,180,R/R,"Oviedo, FL",Rd 1 Comp by Orioles (2015),Orioles (2020),FTB Chandler 17u,"Big power potential, showed well at WWBA and PG National. Always hits PG AA",2015,UCF,128.0
684,Tristan Beck,Stanford,35,6-4,160,R/R,"Corona, CA",Rd 4 by Braves (2018),None,None,Easy low 90's with more to come,2015,Stanford,674.0
685,Wesley Rodriguez,Pittsburgh,36,5-11,200,R/R,"Bronx, NY",Rd 12 by Diamondbacks (2015),None,Team Citius,Very good hitting tools and up to 93 mph on the mound at PG National. Impressed at WWBA. Up to 95 and pitched very well at WWBA WC. Coming out throwing even harder this spring,2015,Pittsburgh,545.0
686,Greg Pickett,Mississippi St.,37,6-4,212,L/R,"Aurora, CO",Rd 8 by Phillies (2015),None,Chandler World,Ball sounds different off his bat. Mashed at 17u WWBA. PG AA Very good at PG NationalShowed huge power potential at WWBA Underclass. Power impressed again at NUC Main,2015,Mississippi St.,430.0
687,Daniel Reyes,Florida,38,6-2,200,R/R,"Miami Springs, FL",Rd 28 by Tigers (2018),None,South Florida Elite Squad,Showed big power potential at PG National. Bat stood out at WWBA events. PG AA,2015,Florida,235.0
688,Tristin English,Georgia Tech,39,6-3,214,R/R,"Williamson, GA",Rd 3 by Diamondbacks (2019),None,Home Plate Chili Dogs 17U,Up to 94 mph at PG National with good secondary offerings. Also very good behind the plate. Up to 95 at WWBA PG AA,2015,Georgia Tech,255.0
689,Alonzo Jones,Vanderbilt,40,5-10,192,S/R,"Columbus, GA",Rd 25 by Athletics (2018),None,East Cobb Astros,Ran a 6.17 60 at PG National!. Good hitting tools. Showed very well with bat at PG AA Game with power from both sides of the plate,2015,Vanderbilt,736.0
690,Cadyn Grenier,Oregon St.,41,5-11,180,R/R,"Henderson, NV",Rd 1 by Orioles (2018),None,LV Titans/Trombly Baseball/WC Mariners,Very good all around player. Bat really projects and outstanding defender. PG AA,2015,Oregon St.,528.0
691,Christopher Chatfield,South Fla.,42,6-3,214,L/L,"Riverview, FL",Rd 23 by Padres (2015),None,Bullets Baseball,Showed very good tools PG. Really projects. Bat is really coming on. PG AA. High Ceiling,2015,South Fla.,651.0
692,Devin Davis,LMU (CA),43,6-2,210,R/R,"Santa Clarita, CA",Rd 25 by Rays (2015),None,Chandler World Team,Big time hitter. Just hammers balls each time we see him. Good around the bag at 1st as well. PG AA,2015,LMU (CA),370.0
693,Ryan Johnson,Kentucky,44,6-3,220,L/R,"College Station, TX",None,None,Evoshield Canes,Outstanding hitting tools and big power potential. Also up to 94 mph on the mound,2015,Kentucky,334.0
694,"Dexter ""DJ"" Neal",South Carolina,45,6-3,210,R/R,"Lithonia, GA",Rd 26 by Blue Jays (2017),None,GBSA Rays,Showed real interesting power potential at multiple WWBA events. Outstanding at PG World 6.6 runner 94 OF and continued to show big power potential,2015,South Carolina,648.0
695,Eric Jenkins,UNCW,46,6-2,165,L/R,"Chadbourn, NC",Rd 2 by Rangers (2015),None,Dirtbags,Very athletic OF with very interesting hitting tools,2015,UNCW,460.0
696,Kyle Molnar,UCLA,47,6-3,205,R/R,"Aliso Viejo, CA",Rd 25 by Cardinals (2015),None,CBA Marucci,Up to 94 at PG National. Outstanding at PG National Games. Easy low 90's already and projects very well. 93 @ WWBA WC. PG AA,2015,UCLA,110.0
697,Joe DeMers,Washington,48,6-2,215,R/R,"Martinez, CA",Rd 11 by Athletics (2018),None,Danville Zoots,Up to 95 at PG National with good offspeed to go with it! Up to 96 at PG AA Game,2015,Washington,756.0
698,Ryan Cole McKay,Abilene Christian,49,6-5,205,S/R,"Spring Branch, TX",Rd 30 by Tigers (2015),None,Houston Banditos,Dominant at PG National. FB up to 94 mph. PG AA,2015,Abilene Christian,2.0
699,Brady Singer,Florida,50,6-5,180,R/R,"Leesburg, FL",Rd 1 by Royals (2018),Royals (2020),Chet Lemons Juice,Low 90's at PG National. Can really pitch. Very good at WWBA WC,2015,Florida,235.0
701,Riley Pint,LSU,2,6-4,195,R/R,"Lenexa, KS",Rd 1 by Rockies (2016),None,Mac N Seitz,Dominant at WWBA. FB 94-96 mph and very good breaking ball. Very good at PG National Up to 97 at WWBA,2016,LSU,365.0
702,Blake Rutherford,UCLA,3,6-2,190,L/R,"Simi Valley, CA",Rd 1 by Yankees (2016),None,EvoShield Canes,Showed crazy power at PG AA. Runs very well. Superstar potential Outstanding and MVP at PG MLK,2016,UCLA,110.0
703,Ian Anderson,Vanderbilt,4,6-3,170,R/R,"Rexford, NY",Rd 1 by Braves (2016),Braves (2020),Clifton Park Knights,"Easy Mid 90's. PG AA Very high ceiling, fun to watch him pitch. Up to 93 PG National",2016,Vanderbilt,736.0
704,Mickey Moniak,UCLA,5,6-2,190,L/R,"Encinitas, CA",Rd 1 by Phillies (2016),Phillies (2020),San Diego Show,"Can flat out hit Very good bat speed with big power potential. Absolutely mashed at PG Underclass AA Games, Very good at PG National",2016,UCLA,110.0
705,Joshua Lowe,Florida St.,6,6-4,190,L/R,"Marietta, GA",Rd 1 by Rays (2016),Rays (2021),Evoshield Canes,"Incredible athlete. Mid 90's on the mound, with good breaking ball, 6.5 runner, 95 across the IF and 100 mph exit velos at PG National. Huge power potential PGAA",2016,Florida St.,234.0
706,Braxton Garrett,Vanderbilt,7,6-3,190,R/L,"Florence, AL",Rd 1 by Marlins (2016),Marlins (2020),East Cobb Astros,"Very impressive all fall Low 90's, good breaking ball. Very good at PG National",2016,Vanderbilt,736.0
707,Alex Kirilloff,Liberty,8,6-2,195,L/L,"New Kensington, PA",Rd 1 by Twins (2016),Twins (2020),Baseball U,Big potential with bat. Ball just comes off his bat different. Showed ridiculous power at PG AA winning HR derby,2016,Liberty,355.0
708,Matt Manning,LMU (CA),9,6-6,185,R/R,"Elk Grove, CA",Rd 1 by Tigers (2016),Tigers (2021),NORCAL Baseball,"Showed mid 90's FB at PG AA and World Series. Extremely projectable. MVPitcher in Jupiter, Up to 95 at CA World Series",2016,LMU (CA),370.0
709,Drew Mendoza,Florida St.,10,6-4,215,L/R,"Minneola, FL",Rd 3 by Nationals (2019),None,Orlando Scorpions,Very Good bat speed with big power potential. Stood out at PG Junior National. Good in the field as well and also upper 80's on the mound.,2016,Florida St.,234.0
710,Gavin Lux,Arizona St.,11,6-2,175,L/R,"Kenosha, WI",Rd 1 by Dodgers (2016),Dodgers (2019),Hitters Baseball,Can swing it from the leftside and very good defensive SS. Showed very projectable bat at PG National,2016,Arizona St.,28.0
711,Joe Rizzo,South Carolina,12,5-11,215,L/R,"Oak Hill, VA",Rd 2 by Mariners (2016),None,Evoshield Canes 17U National,Very good all around player. Made game looks easy at PG National. Great swing with huge power. PG AA,2016,South Carolina,648.0
712,Taylor Trammell,Georgia Tech,13,6-2,195,L/L,"Powder Springs, GA",Rd 1 Comp by Reds (2016),Mariners (2021),Triton Rays Scout Team,Very good all around player and really projects,2016,Georgia Tech,255.0
713,Joey Wentz,Virginia,14,6-5,209,L/L,"Leawood, KS",Rd 1 Comp by Braves (2016),None,Mac-n-Seitz,All coming together for the projectable LHP low to better 90's now and dominating. Power bat,2016,Virginia,746.0
714,Forrest Whitley,Florida St.,15,6-7,250,R/R,"San Antonio, TX",Rd 1 by Astros (2016),None,None,Big power mid 90's arm,2016,Florida St.,234.0
715,Nolan Jones,Virginia,16,6-4,200,L/R,"Langhorne, PA",Rd 2 by Indians (2016),None,Philly Bandits,Can really swing the bat! Outstanding at PG National and also low 90s on the mound!,2016,Virginia,746.0
716,Cole Stobbe,Arkansas,17,6-1,200,R/R,"Omaha, NE",Rd 3 by Phillies (2016),None,HS team,Very projectable bat. Impressed at PG National. Very good at WWBA Events. Big time bat speed,2016,Arkansas,31.0
718,Jared Horn,California,19,6-3,225,None,"Napa, CA",Rd 7 by Rockies (2019),None,None,High level RHP really coming on this spring after impressing at Area Codes the last two years,2016,California,107.0
719,Kevin Gowdy,UCLA,20,6-4,175,R/R,"Santa Barbara, CA",Rd 2 by Phillies (2016),None,GBG Marucci,Arm really works. Can really pitch FB up to 94 mph at PG National. Great offspeed at PG AA,2016,UCLA,110.0
720,Reggie Lawson,Arizona St.,21,6-4,187,R/R,"Adelento, CA",Rd 2 Comp by Padres (2016),None,CBA,"Keeps getting better each time we see him, Easy 90-93 mph at PG National up to 94 mph at PG AA",2016,Arizona St.,28.0
721,Kyle Muller,Texas,22,6-5,210,R/L,"Dallas, TX",Rd 2 by Braves (2016),Braves (2021),DBAT B,Up to 90 mph at PG National. Arm really works well. Been very good so far this spring,2016,Texas,703.0
722,Thomas Jones,Vanderbilt,23,6-3,190,R/R,"Greenville, SC",Rd 3 by Marlins (2016),None,None,"Outstanding all around athlete, elite speed and bat really projects. Very impressive at WWBA",2016,Vanderbilt,736.0
723,Will Benson,Duke,24,6-6,220,L/L,"Atlanta, GA",Rd 1 by Indians (2016),None,East Cobb Astros 16u,Big left handed hitter with huge power potential,2016,Duke,193.0
724,Alex Speas,Auburn,25,6-4,190,R/R,"Powder Springs, GA",Rd 2 by Rangers (2016),None,Atlanta Bluejays 17u,Very fast arm that produces mid 90's FB's and touches upper 90s!,2016,Auburn,37.0
725,Charles King,TCU,26,6-5,205,R/R,"Coppell, TX",None,None,Dallas Tigers,Up to 93 mph at WWBA/ Showed well at PG National. Up to 95 mph in Jupiter,2016,TCU,698.0
726,Carlos A Cortes,South Carolina,27,5-8,185,L/B,"Oviedo, FL",Rd 3 by Mets (2018),None,Scorpions 2016 Prime,Can flat out rake. Big power and ball jumps off his barrel 17u PG WS MVP,2016,South Carolina,648.0
727,Nick Quintana,Arizona,28,5-10,187,R/R,"Las Vegas, NV",Rd 2 by Tigers (2019),None,Evoshield Canes,Shows very good bat speed and ball jumps off his bat. Very good at PG National He can flat out hit.,2016,Arizona,29.0
728,Ben Rortvedt,Arkansas,29,5-10,190,L/R,"Verona, WI",Rd 2 by Twins (2016),Twins (2021),Rawlings Hitters,Flat out mashes. Hits everthing hard. HR at PG National. 450 ft BP HR's at PG AA,2016,Arkansas,31.0
729,Cole Ragans,Florida St.,30,6-4,190,L/L,"Crawfordville, FL",Rd 1 Comp by Rangers (2016),None,Orlando Scorpions,Outstanding at PG National! FB up to 91 with more to come! Up to 93 at WWBA,2016,Florida St.,234.0
730,Carter Kieboom,Clemson,31,6-2,185,R/B,"Marietta, GA",Rd 1 Comp by Nationals (2016),Nationals (2019),East Cobb Yankees,Really swings it well. Ball was jumping off his barrel at PG National!,2016,Clemson,147.0
731,Bo Bichette,Arizona St.,32,6-0,185,R/R,"Tierra Verde, FL",Rd 2 by Blue Jays (2016),Blue Jays (2019),FTB Tucci,Showed very good bat at WWBA. Big time power potential. Ball just comes off his barrel hard,2016,Arizona St.,28.0
732,Luis A. Curbelo,Miami (FL),33,6-3,185,R/R,"Carolina, PR",Rd 6 by White Sox (2016),None,Beyel Brothers Bulldogs,Made hard contact every at bat at PG national. Can flat out rake. PG AA with huge potential with the bat,2016,Miami (FL),415.0
733,Walker Robbins,Mississippi St.,34,6-3,215,L/L,"Leakesville, MS",Rd 5 by Cardinals (2016),None,Marucci Elite,"Outstanding all around player, great defensively at 1B, can really swing the bat and low 90's on the mound PG AA",2016,Mississippi St.,430.0
734,Nolan (Nonie) Williams,LSU,35,6-2,202,R/R,"Kansas City, KS",Rd 3 by Angels (2016),None,Marucci Elite,Big time all around tools PG All American,2016,LSU,365.0
735,Jeff Belge,St. John's (NY),36,6-5,230,L/L,"Syracuse, NY",Rd 18 by Dodgers (2019),None,Baseball U,Up to 94 at WWBA. Very good at PG Underclass AA Games,2016,St. John's (NY),603.0
736,Brandon Marsh,Kennesaw St.,37,6-4,210,L/R,"Buford, GA",Rd 2 by Angels (2016),Angels (2021),Team Elite Roadrunners ,Outstanding athlete really impressed at PG HS Showdown,2016,Kennesaw St.,1157.0
737,Austin Bergner,North Carolina,38,6-4,200,R/R,"Windermere, FL",Rd 9 by Tigers (2019),None,Florida Burn,FB up to 95 mph with good offspeed. Outstanding at WWBA. Can hit too. Very good change to go with 95 at PG AA,2016,North Carolina,457.0
738,Cooper Johnson,Ole Miss,39,6-0,205,R/R,"Mundelein, IL",Rd 6 by Tigers (2019),None,Top Tier,Outstanding defensive catcher. About as good as they get defensively. Can really catch and throw. Good hitting tools as well. Very good at PG National,2016,Ole Miss,433.0
739,Jesus Luzardo,Miami (FL),40,6-1,205,L/L,"Parkland, FL",Rd 3 by Nationals (2016),Athletics (2019),Elite Squad Prime 17u,Can really pitch and fastball can reach the low 90's.,2016,Miami (FL),415.0
741,Tyler Fitzgerald,Louisville,42,6-3,197,R/R,"Rochester, IL",Rd 4 by Giants (2019),None,Elite Baseball Training,"Big tools at PG National, Showed very well at Midwest top. Very good all around tools at PG AA",2016,Louisville,367.0
742,Ryan Zeferjahn,Kansas,43,6-4,200,R/R,"Topeka, KS",Rd 3 by Red Sox (2019),None,Next Level Baseball,Low 90's at PG National with more to come. Up to 94 mph at PG National and in Jupiter,2016,Kansas,328.0
743,Avery Tuck,San Diego St.,44,6-5,195,L/R,"San Diego, CA",Rd 17 by Tigers (2018),None,Trosky,Can flat out mash and does it against good pitching. Big power potential. Outstanding at PG National PG AA,2016,San Diego St.,626.0
744,Nick Hanson,Kentucky,45,6-6,210,R/R,"Savage, MN",Rd 3 by Reds (2016),None,Prior Lake Legion,Up to 94 mph at Kernels tournament,2016,Kentucky,334.0
745,Spencer Van Scoyoc,Arizona St.,46,6-4,195,L/L,"Cedar Rapids, IA",Rd 19 by Phillies (2019),None,HS team,Big projection. Keeps getting better and already up to 90 mph. Good CB. Outstanding in Jupiter,2016,Arizona St.,28.0
746,Nolan Martinez,San Diego St.,47,6-2,165,R/R,"Culver City, CA",Rd 3 by Yankees (2016),None,GBG Marucci,Up to 93 mph and can pitch,2016,San Diego St.,626.0
747,Nick Lodolo,TCU,48,6-6,185,L/L,"La Verne, CA",Rd 1 by Reds (2019),None,SGV Arsenal,Easy throwing LHP projects large up to 92 mph at PG World Series,2016,TCU,698.0
748,Will Ethridge,Ole Miss,49,6-5,220,R/R,"Lilburn, GA",Rd 5 by Rockies (2019),None,Team Elite Roadrunners 17U,Very good at PG HS Showdown up to 93 mph and keeps getting better. Outstanding at PG National very good in Jupiter up to 92. very high ceiling,2016,Ole Miss,433.0
749,Khalil Lee,Liberty,50,5-10,180,L/L,"Centreville, VA",Rd 3 by Royals (2016),Mets (2021),None,Can really hit. Very good at PG National after showing very well at WWBA World Championship,2016,Liberty,355.0
750,Hunter Greene,UCLA,1,6-4,215,R/R,"Stevenson Ranch, CA",Rd 1 by Reds (2017),None,USA,"Put on a show at PG National showing easy power at the plate and a power arm on the mound we have seen up to 97 mph, Won HR Derby at PG All American Classic. Just fun to watch him play. Special All Around talent",2017,UCLA,110.0
751,"Jordon ""Jo"" Adell",Louisville,2,6-3,205,R/R,"Louisville, KY",Rd 1 by Angels (2017),Angels (2020),Evoshield Canes,"As good of tools as anyone. 6.2 runner, 97 from the OF 96 on the mound. BIg time power. Huge ceiling. Very good at PG All American. Hit tool continues to improve. Very impressive in Jupiter ",2017,Louisville,367.0
752,Royce Lewis,UC Irvine,3,6-2,188,R/R,"Aliso Viejo, CA",Rd 1 by Twins (2017),None,ASD Bulldogs,"Big time hitter, huge batspeed and power potential. Can really swing it. Outstanding at PG National. MVP PG All American Classic",2017,UC Irvine,109.0
753,Trevor Rogers,Texas Tech,4,6-5,190,L/L,"Carlsbad, NM",Rd 1 by Marlins (2017),Marlins (2020),None,Easy low 90's LHP up to 96. Big time Projection. Very good at PG All American Classic,2017,Texas Tech,700.0
754,MacKenzie Gore,East Carolina,5,6-2,170,L/L,"Whiteville, NC",Rd 1 by Padres (2017),None,Evoshield Canes,94 mph LHP and can really pitch. Good breaking ball,2017,East Carolina,196.0
755,DL Hall,Florida St.,6,6-1,170,L/L,"Warner Robins, GA",Rd 1 by Orioles (2017),None,Chain Marrucci Black,Up to 95 at PG National and Has shown hammer CB to go with it. 96 at PG All American Classic ,2017,Florida St.,234.0
756,Austin Beck,North Carolina,7,6-1,190,R/R,"Arcadia, NC",Rd 1 by Athletics (2017),None,Dirtbags 17 All Black,Always has shown elite level tools and they are playing in a big way since coming back from injury. 6.5 runner 91 from the OF at Atlantic Coast and outstanding bat. 5 tool talent.Very good at NUC Main Event. Showed big time bat at PG Junior National,2017,North Carolina,457.0
757,Shane Baz,TCU,8,6-3,190,R/R,"Cypress, TX",Rd 1 by Pirates (2017),Rays (2021),Premier Baseball Futures Evans,Very athletic 95 mph RHP. Can swing it too. Stuff has been outstanding all spring,2017,TCU,698.0
758,Hans Crouse,Southern California,9,6-4,185,L/R,"Dana Point, CA",Rd 2 by Rangers (2017),Pirates (2021),BPA Demarini Elite 2017,Can run his fastball up to 97 mph! Very good and up to 96 at PG All American Classic. Fun to watch him pitch,2017,Southern California,657.0
759,Calvin Mitchell,San Diego,10,6-1,190,L/L,"San Diego, CA",Rd 2 by Pirates (2017),None,None,Can really hit and hit with power. Stood out  at PG National. Showed big power at PG All American Classic to go with the sweet swing. Hit very well in Jupiter ,2017,San Diego,627.0
760,Drew Waters,Georgia,11,6-2,190,S/R,"Woodstock, GA",Rd 2 by Braves (2017),None,6-4-3 Dp Cougars 17U,6.69 60 95 mph from OF and two of the top 3 hardest hit balls at PG National 103 mph off his bat. Very impressive in Jupiter,2017,Georgia,257.0
761,Nick Allen,Southern California,12,5-9,165,R/R,"San Diego, CA",Rd 3 by Athletics (2017),None,CBA Marucci,Outstanding defensive SS with good hitting tools. Can always count on a Gold Glove caliber play from him every time you watch him play,2017,Southern California,657.0
762,Jacob Heatherly,Alabama,13,6-3,200,L/L,"Cullman, AL",Rd 3 by Reds (2017),None,Georgia Jackets 17U,Up to 95 at PG All American Classic. Coming on strong. ,2017,Alabama,8.0
763,Cole Brannen,Ga. Southern,14,6-1,190,L/R,"Elko, GA",Rd 2 by Red Sox (2017),None,Chain National 17u,Can really hit and run! outstanding at PG National. Really hit well this fall,2017,Ga. Southern,253.0
764,Alex Scherff,Texas A&M,15,6-4,205,S/R,"Colleyville, TX",Rd 5 by Red Sox (2017),None,Houston Banditos,Lights out at PG National and ran his fastball up to 95 mph. Up to 96 mph at PG All American Classic,2017,Texas A&M,697.0
765,Mark Vientos,Miami (FL),16,6-4,190,R/R,"Pembroke Pines, FL",Rd 2 by Mets (2017),None,Elite Squad,Really stood out at PG  National. Outstanding defender and big potential with the bat. Bat stood out in Jupiter. Keeps getting better,2017,Miami (FL),415.0
766,Conner Uselton,Oklahoma St.,17,6-3,185,R/R,"Oklahoma City, OK",Rd 2 Comp by Pirates (2017),None,FTB Tucci,"Showed 5 tool potential at PG National, outstanding in Jupiter. MVP at 17u WWBA and very good at PG All American Classic",2017,Oklahoma St.,521.0
767,Cole Turney,Houston,18,6-1,200,L/L,"Richmond, TX",Rd 34 by Indians (2017),None,South Texas Sliders,Can flat out swing it! Very good at PG Underclass AA Games Big time bat speed and power potential. Stood out at PG National. Showed huge power at PG All American Classic,2017,Houston,288.0
768,Heliot Ramos,FIU,19,6-2,185,R/R,"Maunabo, PR",Rd 1 by Giants (2017),None,Las Lomas Potros,Outstanding at PG National showing big power and all around tools,2017,FIU,231.0
769,Alex Toral,Miami (FL),20,6-1,225,L/L,"Davie, FL",None,None,Elite Squad 17u Prime,Big power bat. He can hit the ball a long ways. Always hits. Very good at PG National and PG All American Classic,2017,Miami (FL),415.0
770,Blayne Enlow,LSU,21,6-4,180,R/R,"Sorrento, LA",Rd 3 by Twins (2017),None,None,Lows 90's RHP with good breaking ball. Very good at PG All American Classic,2017,LSU,365.0
771,"Mervyl ""MJ"" Melendez",FIU,22,6-1,175,L/R,"Cutler Bay, FL",Rd 2 by Royals (2017),None,FTB Tucci,"Really impressed all around at WWBA, BCS PG All American Classic and PG National. Power in his bat to go with top level defensive skills",2017,FIU,231.0
772,Seth Corry,BYU,23,6-2,195,L/L,"Highland, UT",Rd 3 by Giants (2017),None,Utah Marshalls,Easy low 90's up to 93 mph at PG National and PG All American Classic. Very good early this spring up to 94 at PG Rawlings Select,2017,BYU,77.0
773,Nicholas Pratto,Southern California,24,6-2,195,L/L,"Huntington Beach, CA",Rd 1 by Royals (2017),None,Evoshield Canes,Outstanding two way prospect. Can really hit and low 90s on the mound with outstanding pitchability. Also very good defensive 1B,2017,Southern California,657.0
774,Samuel Carlson,Florida,25,6-4,208,R/R,"Savage, MN",Rd 2 by Mariners (2017),None,Minnesota Blizzard,Low 90s and can really pitch. Up to 94 mph in Jupiter ,2017,Florida,235.0
775,Leslie (Bubba) Thompson,Alabama,26,6-2,180,R/R,"Theodore, AL",Rd 1 by Rangers (2017),None,TPL National,Showed outstanding all around tools at PG National,2017,Alabama,8.0
776,Kyle Hurt,Southern California,27,6-3,205,R/R,"Rancho Santa Fe, CA",Rd 5 by Marlins (2020),None,San Diego Show,93 mph at PG National and can really pitch. Bugs Bunny CH and good CB as well. Lights out at PG National and PG Underclass AA. Up to 94 at PG All American Classic,2017,Southern California,657.0
777,Caden Lemons,Ole Miss,28,6-6,175,R/R,"Birmingham, AL",Rd 2 by Brewers (2017),None,Excel,Lows 90's RHP projects well and has shown more velos this spring into the mid 90s,2017,Ole Miss,433.0
778,Brady McConnell,Florida,29,6-3,195,R/R,"Merritt Island, FL",Rd 2 by Royals (2019),None,Florida Burn Platinum 2017,5 tool player with huge ceiling. Outstanding at PG National,2017,Florida,235.0
